,MC_frame,rmf_frame_index,Total_Score,CR_rpb2.0,CR_rpb1.0,EV_sum,XLs_sum,XLs_psi_sum,traj,rmf3_file,CR_sum,half,cluster,frame_RMF3
3600,3600.0,618.0,36.8646499178,1.30840708083,3.06006577263,15.477039025,17.0191380393,-25.9356222374,run_101,output//rmfs//3.rmf3,4.36847285346,A,-1,h1_run_101_3600.rmf3
3610,3610.0,628.0,47.1285251678,5.49503843637,2.5349738097,23.1819525098,15.9165604119,-24.7642072259,run_101,output//rmfs//3.rmf3,8.03001224607,A,-1,h1_run_101_3610.rmf3
3620,3620.0,2989.0,39.0409233811,1.5626097115,4.74432552776,19.1465953973,13.587392744600002,-27.9195158944,run_101,output//rmfs//2.rmf3,6.3069352392599995,A,-1,h1_run_101_3620.rmf3
3630,3630.0,2999.0,34.8839286345,2.70331124571,1.68531947557,16.4336686707,14.061629242499997,-31.9834463229,run_101,output//rmfs//2.rmf3,4.38863072128,A,-1,h1_run_101_3630.rmf3
3640,3640.0,3009.0,42.2223185783,3.40792805864,2.47605466644,12.8188081411,23.5195277121,-30.3645245684,run_101,output//rmfs//2.rmf3,5.88398272508,A,-1,h1_run_101_3640.rmf3
3650,3650.0,3019.0,36.4843920313,0.207434928605,0.017097888939,19.4113187125,16.848540501299997,-24.86688792,run_101,output//rmfs//2.rmf3,0.224532817544,A,-1,h1_run_101_3650.rmf3
3660,3660.0,630.0,40.6942469079,1.80682166954,2.96541298525,16.960526835,18.961485418000002,-27.3948635562,run_101,output//rmfs//3.rmf3,4.77223465479,A,-1,h1_run_101_3660.rmf3
3670,3670.0,640.0,37.664158576,4.90908324963,1.01565442171,20.704307499,11.0351134056,-30.0663028364,run_101,output//rmfs//3.rmf3,5.92473767134,A,-1,h1_run_101_3670.rmf3
3680,3680.0,650.0,36.1514723118,1.6053963391,5.696171803,15.7050404224,13.144863747199999,-28.9427792106,run_101,output//rmfs//3.rmf3,7.301568142100001,A,-1,h1_run_101_3680.rmf3
3690,3690.0,660.0,35.8466744889,0.719179311349,7.6099454056,15.6182778866,11.899271885399997,-35.1396626649,run_101,output//rmfs//3.rmf3,8.329124716949,A,-1,h1_run_101_3690.rmf3
3700,3700.0,670.0,37.4854200069,1.85554022359,5.11923122717,16.7352502758,13.775398280300003,-31.2895531191,run_101,output//rmfs//3.rmf3,6.9747714507600005,A,-1,h1_run_101_3700.rmf3
3710,3710.0,680.0,45.3131452193,6.1775868347,5.44196931382,9.11779403581,24.575795035000002,-24.1122480244,run_101,output//rmfs//3.rmf3,11.61955614852,A,-1,h1_run_101_3710.rmf3
3720,3720.0,3033.0,51.0352312388,2.00825809268,1.77668918022,32.6873278361,14.5629561298,-30.443271232,run_101,output//rmfs//2.rmf3,3.7849472729,A,-1,h1_run_101_3720.rmf3
3730,3730.0,692.0,35.9542177841,0.683649264042,2.01513889952,15.5889004477,17.6665291728,-30.4525349228,run_101,output//rmfs//3.rmf3,2.698788163562,A,-1,h1_run_101_3730.rmf3
3740,3740.0,702.0,43.1397197038,5.48549575718,1.34369120758,22.9175305372,13.393002201899996,-30.8863161573,run_101,output//rmfs//3.rmf3,6.82918696476,A,-1,h1_run_101_3740.rmf3
3750,3750.0,712.0,38.4773161494,4.28787518814,5.26157700517,13.3739987645,15.553865191700005,-34.9107171019,run_101,output//rmfs//3.rmf3,9.54945219331,A,-1,h1_run_101_3750.rmf3
3760,3760.0,722.0,45.9899274634,0.605687804027,6.2441852778,26.2426858154,12.897368566099999,-34.3939353004,run_101,output//rmfs//3.rmf3,6.849873081827,A,-1,h1_run_101_3760.rmf3
3770,3770.0,732.0,39.0785978421,1.75819648634,2.20776451489,20.1763612525,14.936275588400001,-26.869282798,run_101,output//rmfs//3.rmf3,3.96596100123,A,-1,h1_run_101_3770.rmf3
3780,3780.0,742.0,38.1594520189,0.733813150964,7.47711058674,17.6982317402,12.250296540999997,-28.2441688726,run_101,output//rmfs//3.rmf3,8.210923737704,A,-1,h1_run_101_3780.rmf3
3790,3790.0,752.0,28.2616045436,0.0778925815404,1.39776963283,15.6292701418,11.156672187499996,-27.7247321171,run_101,output//rmfs//3.rmf3,1.4756622143704,A,-1,h1_run_101_3790.rmf3
