,MC_frame,CrossLinkingMassSpectrometryRestraint_Psi_0.01,CrossLinkingMassSpectrometryRestraint_Psi_0.1,XLs_satif
3323,3323.0,0.0144210446192,0.0876658771503,0.9545454545454546
3324,3324.0,0.0144210446192,0.0693918104312,0.9545454545454546
3325,3325.0,0.0144210446192,0.0924267917521,0.9545454545454546
3326,3326.0,0.0117548621231,0.0994743994968,0.9545454545454546
3327,3327.0,0.0117548621231,0.0542351482161,0.9545454545454546
3328,3328.0,0.0117548621231,0.0756671078921,0.9545454545454546
3329,3329.0,0.0117548621231,0.0270341450791,0.9545454545454546
3330,3330.0,0.0117548621231,0.0287882692253,0.9545454545454546
3331,3331.0,0.0147738850768,0.081464617862,0.9545454545454546
3332,3332.0,0.0147738850768,0.0720216188883,0.9545454545454546
3333,3333.0,0.0147738850768,0.0827554475979,0.9545454545454546
3334,3334.0,0.0147738850768,0.0193766777996,0.9545454545454546
